,시도,군구,시도군구,lot
0,강원도,강릉시,강원도 강릉시,5
1,강원도,고성군,강원도 고성군,1
2,강원도,동해시,강원도 동해시,2
3,강원도,삼척시,강원도 삼척시,1
4,강원도,속초시,강원도 속초시,3
5,강원도,양구군,강원도 양구군,1
6,강원도,양양군,강원도 양양군,1
7,강원도,영월군,강원도 영월군,1
8,강원도,원주시,강원도 원주시,14
9,강원도,인제군,강원도 인제군,3
10,강원도,정선군,강원도 정선군,1
11,강원도,철원군,강원도 철원군,2
12,강원도,춘천시,강원도 춘천시,7
13,강원도,태백시,강원도 태백시,1
14,강원도,평창군,강원도 평창군,3
15,강원도,홍천군,강원도 홍천군,2
16,강원도,화천군,강원도 화천군,2
17,강원도,횡성군,강원도 횡성군,1
18,경기도,가평군,경기도 가평군,5
19,경기도,고양시,경기도 고양시,25
20,경기도,과천시,경기도 과천시,2
21,경기도,광명시,경기도 광명시,5
22,경기도,광주시,경기도 광주시,8
23,경기도,구리시,경기도 구리시,4
24,경기도,군포시,경기도 군포시,4
25,경기도,김포시,경기도 김포시,11
26,경기도,남양주시,경기도 남양주시,18
27,경기도,동두천시,경기도 동두천시,2
28,경기도,부천시,경기도 부천시,17
29,경기도,성남시,경기도 성남시,13
30,경기도,수원시,경기도 수원시,30
31,경기도,시흥시,경기도 시흥시,19
32,경기도,안산시,경기도 안산시,15
33,경기도,안성시,경기도 안성시,9
34,경기도,안양시,경기도 안양시,14
35,경기도,양주시,경기도 양주시,6
36,경기도,양평군,경기도 양평군,2
37,경기도,여주군,경기도 여주군,1
38,경기도,여주시,경기도 여주시,2
39,경기도,연천군,경기도 연천군,1
40,경기도,오산시,경기도 오산시,4
41,경기도,용인시,경기도 용인시,24
42,경기도,의왕시,경기도 의왕시,4
43,경기도,의정부시,경기도 의정부시,12
44,경기도,이천시,경기도 이천시,7
45,경기도,파주시,경기도 파주시,14
46,경기도,평택시,경기도 평택시,19
47,경기도,포천시,경기도 포천시,5
48,경기도,하남시,경기도 하남시,5
49,경기도,화성시,경기도 화성시,23
50,경상남도,거제시,경상남도 거제시,7
51,경상남도,거창군,경상남도 거창군,1
52,경상남도,고성군,경상남도 고성군,1
53,경상남도,김해시,경상남도 김해시,12
54,경상남도,남해군,경상남도 남해군,1
55,경상남도,밀양시,경상남도 밀양시,3
56,경상남도,사천시,경상남도 사천시,2
57,경상남도,산청군,경상남도 산청군,1
58,경상남도,양산시,경상남도 양산시,8
59,경상남도,의령군,경상남도 의령군,1
60,경상남도,진주시,경상남도 진주시,12
61,경상남도,창녕군,경상남도 창녕군,2
62,경상남도,창원시,경상남도 창원시,32
63,경상남도,통영시,경상남도 통영시,3
64,경상남도,하동군,경상남도 하동군,1
65,경상남도,함안군,경상남도 함안군,1
66,경상남도,함양군,경상남도 함양군,1
67,경상남도,합천군,경상남도 합천군,1
68,경상북도,경산시,경상북도 경산시,7
69,경상북도,경주시,경상북도 경주시,6
70,경상북도,고령군,경상북도 고령군,1
71,경상북도,구미시,경상북도 구미시,16
72,경상북도,김천시,경상북도 김천시,4
73,경상북도,문경시,경상북도 문경시,3
74,경상북도,봉화군,경상북도 봉화군,1
75,경상북도,상주시,경상북도 상주시,1
76,경상북도,성주군,경상북도 성주군,1
77,경상북도,안동시,경상북도 안동시,6
78,경상북도,영덕군,경상북도 영덕군,1
