,시도,군구,시도군구,king
0,강원도,강릉시,강원도 강릉시,1
1,강원도,속초시,강원도 속초시,1
2,강원도,원주시,강원도 원주시,3
3,강원도,춘천시,강원도 춘천시,2
4,강원도,홍천군,강원도 홍천군,2
5,경기도,고양시,경기도 고양시,7
6,경기도,과천시,경기도 과천시,1
7,경기도,광명시,경기도 광명시,1
8,경기도,광주시,경기도 광주시,2
9,경기도,구리시,경기도 구리시,2
10,경기도,군포시,경기도 군포시,1
11,경기도,김포시,경기도 김포시,1
12,경기도,남양주시,경기도 남양주시,4
13,경기도,동두천시,경기도 동두천시,1
14,경기도,부천시,경기도 부천시,10
15,경기도,성남시,경기도 성남시,8
16,경기도,수원시,경기도 수원시,13
17,경기도,시흥시,경기도 시흥시,4
18,경기도,안산시,경기도 안산시,3
19,경기도,안성시,경기도 안성시,1
20,경기도,안양시,경기도 안양시,3
21,경기도,양주시,경기도 양주시,2
22,경기도,양평군,경기도 양평군,1
23,경기도,오산시,경기도 오산시,3
24,경기도,용인시,경기도 용인시,5
25,경기도,의정부시,경기도 의정부시,6
26,경기도,이천시,경기도 이천시,1
27,경기도,파주시,경기도 파주시,4
28,경기도,평택시,경기도 평택시,6
29,경기도,포천시,경기도 포천시,1
30,경기도,하남시,경기도 하남시,2
31,경기도,화성시,경기도 화성시,9
32,경상남도,거제시,경상남도 거제시,3
33,경상남도,김해시,경상남도 김해시,6
34,경상남도,사천시,경상남도 사천시,2
35,경상남도,양산시,경상남도 양산시,3
36,경상남도,진주시,경상남도 진주시,3
37,경상남도,창원시,경상남도 창원시,7
38,경상북도,경산시,경상북도 경산시,5
39,경상북도,경주시,경상북도 경주시,4
40,경상북도,구미시,경상북도 구미시,6
41,경상북도,김천시,경상북도 김천시,2
42,경상북도,상주시,경상북도 상주시,1
43,경상북도,안동시,경상북도 안동시,3
44,경상북도,영주시,경상북도 영주시,1
45,경상북도,포항시,경상북도 포항시,6
46,광주광역시,광산구,광주광역시 광산구,5
47,광주광역시,남구,광주광역시 남구,3
48,광주광역시,동구,광주광역시 동구,1
49,광주광역시,북구,광주광역시 북구,5
50,광주광역시,서구,광주광역시 서구,2
51,대구광역시,남구,대구광역시 남구,2
52,대구광역시,달서구,대구광역시 달서구,4
53,대구광역시,달성군,대구광역시 달성군,2
54,대구광역시,동구,대구광역시 동구,4
55,대구광역시,북구,대구광역시 북구,4
56,대구광역시,서구,대구광역시 서구,1
57,대구광역시,수성구,대구광역시 수성구,4
58,대구광역시,중구,대구광역시 중구,2
59,대전광역시,동구,대전광역시 동구,2
60,대전광역시,서구,대전광역시 서구,6
61,대전광역시,유성구,대전광역시 유성구,5
62,대전광역시,중구,대전광역시 중구,2
63,부산광역시,강서구,부산광역시 강서구,2
64,부산광역시,금정구,부산광역시 금정구,2
65,부산광역시,기장군,부산광역시 기장군,2
66,부산광역시,남구,부산광역시 남구,2
67,부산광역시,동래구,부산광역시 동래구,2
68,부산광역시,부산진구,부산광역시 부산진구,4
69,부산광역시,북구,부산광역시 북구,1
70,부산광역시,사상구,부산광역시 사상구,2
71,부산광역시,사하구,부산광역시 사하구,2
72,부산광역시,연제구,부산광역시 연제구,2
73,부산광역시,해운대구,부산광역시 해운대구,5
74,서울특별시,강남구,서울특별시 강남구,13
75,서울특별시,강동구,서울특별시 강동구,5
76,서울특별시,강북구,서울특별시 강북구,2
77,서울특별시,강서구,서울특별시 강서구,7
78,서울특별시,관악구,서울특별시 관악구,4
79,서울특별시,광진구,서울특별시 광진구,4
80,서울특별시,구로구,서울특별시 구로구,4
81,서울특별시,금천구,서울특별시 금천구,2
82,서울특별시,노원구,서울특별시 노원구,4
83,서울특별시,도봉구,서울특별시 도봉구,3
84,서울특별시,동대문구,서울특별시 동대문구,3
