,이름,주소
0,안성죽산,경기 안성시 죽산면 죽주로 282 롯데리아 
1,마산중앙,경남 창원시 마산합포구 중앙동3길 중앙동2가 2-4 
2,평택동삭,경기 평택시 지제동삭2로 181-24 
3,순천풍덕,전남 순천시 팔마로 전라남도 순천시 팔마로 212 
4,주안,인천 남구 주안로 지하86 
5,부산온천장역,부산 동래구 금강공원로 5 
6,부산신항,경남 창원시 진해구 신항동로 121 
7,평택고덕삼성,경기 평택시 고덕면 고덕여염9길 42 
8,화정역,"경기 고양시 덕양구 화신로260번길 현창빌딩 101,102,103호 "
9,고양삼송,경기 고양시 덕양구 동송로 30 
10,안성죽산,경기 안성시 죽산면 죽주로 282 롯데리아 
11,마산중앙,경남 창원시 마산합포구 중앙동3길 중앙동2가 2-4 
12,평택동삭,경기 평택시 지제동삭2로 181-24 
13,순천풍덕,전남 순천시 팔마로 전라남도 순천시 팔마로 212 
14,주안,인천 남구 주안로 지하86 
15,부산온천장역,부산 동래구 금강공원로 5 
16,부산신항,경남 창원시 진해구 신항동로 121 
17,평택고덕삼성,경기 평택시 고덕면 고덕여염9길 42 
18,화정역,"경기 고양시 덕양구 화신로260번길 현창빌딩 101,102,103호 "
19,고양삼송,경기 고양시 덕양구 동송로 30 
20,안성죽산,경기 안성시 죽산면 죽주로 282 롯데리아 
21,울산매곡,울산 북구 매곡2로 39 
22,양산증산,경남 양산시 물금읍 증산역로 177 
23,능평삼거리,경기 광주시 오포읍 능평로 216 
24,하나로마트춘천퇴계,강원 춘천시 지석로 11 
25,롯데마트부평,인천 부평구 마장로 296 
26,가평휴게소(상),경기 가평군 설악면 미사리로 544 
27,아산장재,충남 아산시 배방읍 용연로 충남 아산시 장재리 1546 
28,수원파장,경기 수원시 장안구 파장로 91 
29,롯데더몰여수,전남 여수시 국포1로 36 
30,서귀포혁신,제주 서귀포시 신서귀로97번길 47 
31,신정네거리역,서울 양천구 신월로 297 
32,대구성당D/T,대구 달서구 구마로 209 
33,진주혁신,경남 진주시 소호로 12 
34,영암대불,전남 영암군 삼호읍 대불주거로 145 
35,안산사동,경기 안산시 상록구 항가울로 28 
36,의정부고산,경기 의정부시 문충로 116 
37,용인휴게소(하),경기 용인시 처인구 양지면 주북로94번길 30-1 
38,진영휴게소(하),경남 김해시 진영읍 하계로94번길 94-4 
39,포항에비뉴,경북 포항시 남구 중흥로 77 
40,김포마산,경기 김포시 김포한강8로148번길 5 
41,광명역사,경기 광명시 광명역로 광명역 동편 맞이방 
42,문경시청,경북 문경시 시청1길 5 
43,청계산입구역,서울 서초구 청계산로 201 
44,대전목원대,대전 서구 도안북로93번길 7 
45,원주봉산,강원 원주시 행구로 69 
46,무안,전남 무안군 무안읍 면성1길 129 
47,안산그랑시티자이,"경기 안산시 상록구 해양1로 199, 그랑시티 PORT AVENUE "
48,시화거북섬,경기 시흥시 거북섬5길 4 
49,인천왕길역,인천 서구 봉화로 49 
50,송도달빛공원,인천 연수구 송도동 29-1번지(아트센터대로 169번길 100) 
51,서천장항,충남 서천군 장항읍 장서로 73 
52,경기북부청사,경기 의정부시 장곡로 620 
53,송도랜드마크시티,인천 연수구 랜드마크로 68 
54,청주동남,충북 청주시 상당구 중고개로 141번길 13-16 
55,남양주덕소,경기 남양주시 와부읍 수레로 100 
56,동탄산척,경기 화성시 동탄순환대로 245 
57,감일,감일백제로 109 1층
58,대구연경,대구 동구 동화천로 70길 39 
59,홈플러스월드컵,서울 마포구 월드컵로 240 
60,홈플러스강동,굽은다리역 앞 홈플러스강동점 1층
61,김포풍무,경기 김포시 풍무로 122 
62,논산내동,충남 논산시 중앙로 255 
63,세종반곡,세종  한누리대로 1824 
64,남양주화도D/T,경기 남양주시 화도읍 먹갓로28번길 77-4 
65,천안나사렛,충남 천안시 서북구 월봉로 79 
66,대구불로봉무,대구 동구 팔공로 131 
67,대구장기,대구 달서구 장기로 264 
68,광주주월,광주 남구 서문대로 753 
69,부산동아대,부산 사하구 낙동대로550번길 1 
70,DMC향동,경기 고양시 덕양구 꽃마을로 45 
71,대구침산,대구 북구 침산로 170-1 
72,시흥은계,경기 시흥시 은계번영길 25 
73,원주단관,강원 원주시 단관길 125 
74,충주호암,"충북 충주시 호암토성2로 상가동 지하1층 B-108호,109호 "
75,천안역사,충남 천안시 동남구 대흥로 239 
76,안양석수,경기 안양시 만안구 안양로 483 
77,경기광주역,경기 광주시 역동로 59 
78,청주남문성안길,충북 청주시 상당구 성안로 51 
79,김포고촌,경기 김포시 고촌읍 장차로5번길 10 
80,구미선산,경북 구미시 선산읍 선산중앙로 68 
81,오송역사,충북 청주시 흥덕구 오송읍 오송가락로 123 
82,고덕국제,경기 평택시 고덕면 고덕중앙로 218 
83,양양,강원 양양군 양양읍 양양로 15-1 
84,제주함덕,제주 제주시 조천읍 조함해안로 530 
85,광주효천,광주 남구 효천로 51 
86,비발디파크,강원 홍천군 서면 한치골길 262 
87,울산송정,울산 북구 화산로 109 
88,전주법원,전북 전주시 덕진구 만성중앙로 60 
89,동탄호수공원,경기 화성시 동탄면 동탄순환대로 127-19 
90,부평역,인천 부평구 광장로 16 
91,수원당수,경기 수원시 권선구 당진로 20 
92,천안신당,충남 천안시 서북구 천안대로 1215 
93,이천송정,경기 이천시 증신로291번길 119-1 
94,이천,경기 이천시 이섭대천로1217번길 26 
95,홈플러스북수원,경기 수원시 장안구 경수대로 930 
96,인천공항T2 A/S서편,인천 중구 제2터미널대로 446 
97,구산역,서울 은평구 연서로 130 
98,평택서정,"경기 평택시 정암로 32,1동 "
99,마곡역,"서울 강서구 마곡서로 56, 3동 1층 102호 "
100,용산역사,서울 용산구 청파로 56-20 
101,광주운천,광주 서구 상무대로 879 
102,경남산청,경남 산청군 산청읍 친환경로 2693 
103,원주기업도시,"강원 원주시 지정면 신지정로 180,롯데프라자 "
104,홈플러스칠곡,대구 북구 동암로12길 8 
105,군포송정지구,경기 군포시 송부로 42 
106,세종고운,세종  마음안1로 137 
107,세종보람디엠시티,세종  한누리대로 2165 
108,진주초장,경남 진주시 초북로 40 
109,홍은포방,서울 서대문구 홍은중앙로 100 
110,거제고현,경남 거제시 서문로 70 
111,용인동백,경기 용인시 기흥구 동백5로 21-11 
112,대구옥포,대구 달성군 옥포면 돌미상업로 6 
113,대구삼덕,대구 중구 동덕로 125 
114,송산새솔동,경기도 화성시 수노을중앙로 122 
115,홈플러스동광주,광주 북구 동문대로 200 
116,광주운리,광주 서구 풍암운리로 8 
117,진주대안,경남 진주시 진주대로 1077 
118,청주테크노폴리스,충청북도 청주시 흥덕구 송화로 172-1 
119,평택포승,경기 평택시 포승읍 여술2길 15 
120,세종소담,세종  한누리대로 2009 
121,대구황금네거리,대구 수성구 청수로 117 
122,과천렛츠런파크,경기 과천시 경마공원대로 107 
123,제주공항국내선탑승,제주 제주시 공항로 제주공항 
124,마산로봇랜드,경상남도 창원시 마산합포구 구산면 로봇랜드로 1층 
125,전주에코,전라북도 전주시 덕진구 세병남로 롯데리아 
126,대구서성네거리,대구 중구 서성로 33 
127,다산진건,경기 남양주시 다산순환로 KB골든타워 
128,진도,전남 진도군 진도읍 남문길 6 
129,여의도아라호선착장,서울 영등포구 여의동로 280 
130,롯데광복,부산 중구 중앙대로 롯데백화점 지하 1층 
131,평창진부,강원 평창군 진부면 진부중앙로 71 
132,홈플러스창원,경남 창원시 의창구 창원대로 415 
133,당진합덕,충남 당진시 합덕읍 합덕시장로 214-4 
134,판교D/T,경기 성남시 분당구 동판교로 42 
135,이대,서울 서대문구 이화여대길 59 
136,이천마장,경기 이천시 마장면 오천로 67 
137,전주시청,전북 전주시 덕진구 기린대로 236 
138,경남의령,경남 의령군 의령읍 행복로 7 
139,전북대,전북 전주시 덕진구 명륜4길 17 
140,홈플러스간석,인천 남동구 경원대로 971 
141,화성비봉,경기 화성시 비봉면 양노로 78-5 
142,제천강저,충북 제천시 강저로 226 
143,메가마트동래,부산 동래구 충렬대로  197 메가마트동래점 2F
144,김해장유,경남 김해시 능동로167번길 1 
145,부천송내D/T,경기 부천시 소사구 경인로 36 
146,롯데백인천터미널,인천 남구 연남로 35 
147,광주첨단,광주 광산구 첨단중앙로 152 
148,홈플러스광주하남,광주 광산구 용아로 390 
149,수원영통,경기 수원시 영통구 청명남로 21 
150,익산제일,전북 익산시 무왕로13길 13 
151,구미산동,경북 구미시 신당1로2길 1동 1층 
152,롯데마트영통,경기 수원시 영통구 봉영로 1579 
153,미사역,경기 하남시 미사강변중앙로 218 
154,진해자은,경남 창원시 진해구 냉천로 164 
155,수원고색,경기 수원시 권선구 매송고색로691번길 18 
156,전북진안,진안군 진안읍 진무로 1093
157,동탄주거단지,경기 화성시 동탄순환대로18길 16 
158,안성중앙대,경기 안성시 대덕면 대학2길 22 
159,영남대D/T,경북 경산시 대학로 316 
160,창원대동백화점,경남 창원시 성산구 원이대로 730 대동백화점 
161,광교,경기 수원시 영통구 도청로89번길 43 
162,가평설악,경기 가평군 설악면 신천중앙로 98 
163,부산괴정,부산 사하구 괴정동 970-2 
164,경남대,경남 창원시 마산합포구 가포로 8 
165,서산해미,충남 서산시 해미면 남문2로 121 
166,서산테크노밸리,충남 서산시 성연면 성연4로 27-28 
167,하나로제주성산,제주 서귀포시 성산읍 일주동로 4282 
168,파주야당역,경기 파주시 경의로 1092 
169,밀양하남,경남 밀양시 하남읍 수산중앙로 93-1 
170,홈플러스중계,서울 노원구 동일로204가길 12 
171,광주퇴촌,경기 광주시 퇴촌면 천진암로 354 
172,여수예술랜드,전남 여수시 돌산읍 무술목길 142-1 
173,용인남사,경기도 용인시 처인구 남사면 한숲로 54 1층 104호 
174,장생포,울산 남구 장생포고래로 244 
175,용인송전,"경기 용인시 처인구 이동면 경기동로687번길 22번길, 103,104호 "
176,왕십리역사,서울 성동구 왕십리광장로 17 
177,화곡역,서울 강서구 화곡로 157 
178,홈플러스울산남구,울산 남구 수암로 148 
179,파주광탄,경기 파주시 광탄면 혜음로 1128-1 
180,인천도화,인천 남구 숙골로 100 
181,인천가정,인천 서구 염곡로498번길 18 
182,순천조례,전남 순천시 봉화2길 113 
183,롯데마트동래,부산 동래구 중앙대로 1393 
184,서충주신도시,충북 충주시 중앙탑면 기업도시로 222 
185,대전세이,대전 중구 계백로 1700 
186,밀양삼문,경남 밀양시 중앙로 241 
187,방배역,서울 서초구 방배로 96 
188,안동문화의거리,경북 안동시 서동문로 176 
189,경북의성,경북 의성군 의성읍 동서1길 26 
190,부산서동,부산 금정구 서동로 159-7 
191,전남곡성,전남 곡성군 곡성읍 곡성로 817 
192,해운대D/T,부산 해운대구 해운대로 592 
193,강남일원,서울 강남구 양재대로55길 21 
194,금정역,경기 군포시 산본천로 213 
195,서면지하상가,부산 부산진구 가야대로 743 
196,경북신영주,경북 영주시 대학로12번길 4 
197,음성삼성,충북 음성군 삼성면 덕정로30번길 7-2 
198,여수죽림,전남 여수시 소라면 죽림로 3 
199,원주흥업,강원 원주시 흥업면 남원로 52-5 
200,오남어람,경기 남양주시 오남읍 진건오남로 511 
201,창천,서울 서대문구 신촌로 15 
202,김포국제공항국내선청사4F,서울 강서구 하늘길 112 
203,부산연지,부산 부산진구 새싹로 170 
204,평택세교,경기 평택시 세교로 5 
205,평택진위D/T,경기 평택시 진위면 경기대로 1929 
206,청주옥산,충북 청주시 흥덕구 옥산면 청주역로 629 
207,춘천장학,강원 춘천시 동면 춘천순환로 600 
208,시흥현대시장,서울 금천구 독산로 독산로 128번길 
209,인천공항제2여객터미널3층,인천 중구 공항로 271 
210,동탄CGV,경기 화성시 동탄대로 537 
211,인천공항제2여객터미널1층,인천공항 제2여객터미널 1층 3번게이트
212,위례중앙,서울 송파구 위례광장로 270 
213,구리갈매,"경기 구리시 갈매중앙로 91, 105호 "
214,당진기지시,충남 당진시 송악읍 반촌로 기지시리 153-9 
215,포항법원,경북 포항시 북구 신덕로 274 
216,순천용당,전남 순천시 삼산로 102 
217,울산삼산D/I,울산 남구 화합로 194 
218,구미신평D/T,경북 구미시 구미대로 389(신평동) 
219,보라매타운,서울 관악구 보라매로5길 35 
220,부산광안역,부산 수영구 수영로 581 
221,시흥휴게소,경기 시흥시 서울외곽순환고속도로 105 
222,청량리역사,서울 동대문구 왕산로 왕산로 214길 
223,용인시청D/T,경기 용인시 처인구 중부대로 1137 
224,전북장수,전북 장수군 장수읍 성산길 2 
225,목동킴스클럽,서울 양천구 목동동로 309 
226,롯데마트김포한강신도시,경기 김포시 김포한강2로 41 
227,부산지사,부산 강서구 과학산단2로 12 
