,이름,주소
0,김포장기DT점,경기 김포시 김포한강1로 77-40(지번) 장기동 1911-2
1,김포감정DT점,경기 김포시 중봉로 19(지번) 감정동 506-2
2,연희DT점,인천 서구 서곶로 265(지번) 심곡동 255-2
3,강선점,경기 고양시 일산서구 대산로 113 백마프라자 1층(지번) 주엽동 51-1
4,정발산점,경기 고양시 일산동구 중앙로1275번길 38-5(지번) 장항동 770-2
5,탄현점,"경기 고양시 일산서구 일현로 56 삼정프라자 1,2층(지번) 탄현동 1573-1"
6,김포고촌SK DT점,경기 김포시 고촌읍 김포대로 336(지번) 고촌읍 신곡리 532-25
7,고양풍동DT점,경기 고양시 일산동구 백마로 493(지번) 풍동 148-3
8,인천삼산DT점,인천 부평구 장제로 380(지번) 삼산동 226-7
9,마두역점,경기 고양시 일산동구 중앙로 1190(지번) 마두동 798-6
10,고양원당DT점,경기 고양시 덕양구 호국로 777(지번) 주교동 610-4
11,부평SK DT점,인천 부평구 부평대로 96(지번) 부평동 440-2
12,송정역점,서울 강서구 공항대로 21(지번) 공항동 45-38
13,부평역점,인천 부평구 광장로 16 부평역사쇼핑몰 1층(지번) 부평동 738-21
14,동인천점,인천 중구 우현로 85-1(지번) 인현동 27-3
15,중동DT점,경기 부천시 중동로262번길 94(지번) 중동 1142-9
16,부평중앙점,인천 부평구 부평문화로 65(지번) 부평동 212-88
17,행신점,경기 고양시 덕양구 충경로 38(지번) 행신동 714
18,화정역점,경기 고양시 덕양구 화신로272번길 67(지번) 화정동 970-4
19,우장산DT점,서울 강서구 강서로 216(지번) 화곡동 1026
20,인천구산DT점,인천 부평구 경인로 1191(지번) 구산동 1-4
21,등촌DT점,서울 강서구 양천로 546(지번) 등촌동 630
22,신흥DT점,인천 중구 인항로 38(지번) 신흥동3가 7-227
23,만수DT점,인천 남동구 백범로 229(지번) 만수동 904-4
24,신월DT점,서울 양천구 남부순환로 404(지번) 신월동 199-3
25,구월DT점,인천 남동구 인주대로 514(지번) 구월동 1120-16
26,홈플러스상동점,경기 부천시 길주로 118(지번) 상동 540-1
27,부천원종DT점,경기 부천시 소사로 689(지번) 원종동 376-6
28,부천심곡DT점,경기 부천시 경인로 170(지번) 심곡본동 559-4
29,구월아시아드DT점,인천 남동구 남동대로 724(지번) 구월동 1185
30,신월남부DT점,서울 양천구 남부순환로 553(지번) 신월동 525-1
31,부천역곡역DT점,경기 부천시 경인로 487(지번) 괴안동 112-23
32,문학DT점,인천 미추홀구 매소홀로 600(지번) 문학동 381-5
33,염창DT점,서울 강서구 공항대로71길 3(지번) 염창동 280-11
34,부천북부역점,경기 부천시 부천로 11(지번) 심곡동 175-8
35,서울상암DMC점,서울 마포구 월드컵북로 400(지번) 상암동 1602
36,씨엔씨점,인천 남동구 예술로 198(지번) 구월동 1130-3
37,고양삼송DT점,경기 고양시 덕양구 고양대로 1948(지번) 동산동 74-1
38,양천구청DT점,서울 양천구 목동동로 71(지번) 신정동 323-20
39,목동점,서울 양천구 목동로 221(지번) 신정동 899-6
40,인천옥련DT점,인천 연수구 비류대로 176(지번) 옥련동 265-29
41,파리공원점,서울 양천구 목동서로 45(지번) 목동 908-25
42,연신내점,서울 은평구 연서로 213(지번) 갈현동 456-28
43,고척DT점,서울 구로구 경인로 393(지번) 고척동 277-12
44,고양DT점,경기 고양시 덕양구 호국로 1699(지번) 벽제동 262-1
45,양평SK점,서울 영등포구 선유로 195(지번) 양평동3가 80-2
46,연수GS DT점,인천 연수구 먼우금로 200(지번) 연수동 597
47,망원점,서울 마포구 월드컵로 81(지번) 망원동 377-19
48,구산점,서울 은평구 연서로 131(지번) 구산동 1-14
49,합정메세나폴리스점,서울 마포구 양화로 45 2층(지번) 서교동 490
50,시흥은행점,경기 시흥시 대은로 90(지번) 은행동 532-1
51,명지대점,서울 서대문구 거북골로 25(지번) 남가좌동 324-3
52,양평SK DT점,서울 영등포구 선유로 195(지번) 양평동3가 80-2
53,송도GS DT점,인천 연수구 하모니로 128(지번) 송도동 8-18
54,영등포점,서울 영등포구 경인로 855(지번) 영등포동3가 10-4
55,은평이마트점,서울 은평구 은평로 111 8층(지번) 응암동 90-1
56,광명DT점,경기 광명시 광명로 765(지번) 광명동 754-4
57,연세대점,서울 서대문구 연세로 33(지번) 창천동 33-12
58,양주휴게소DT점,경기 양주시 장흥면 수도권제1순환고속도로 58(지번) 장흥면 삼하리 250-16
59,광명역점,경기 광명시 광명로 895-1 1층(지번) 광명동 158-792
60,구로디지털점,서울 구로구 디지털로31길 12 태평양물산 1층(지번) 구로동 197-21
61,신도림디큐브점,서울 구로구 경인로 662 지하2층(지번) 신도림동 692
62,연수이마트점,인천 연수구 경원대로 184 2층(지번) 동춘동 926-9
63,여의도점,서울 영등포구 국제금융로 10 IFC몰 B326호(지번) 여의도동 23
64,홍제역점,서울 서대문구 통일로 442-1(지번) 홍제동 253-11
65,가산비지니스센터점,서울 금천구 가산디지털1로 165 1층(지번) 가산동 371-6
66,철산역점,경기 광명시 오리로856번길 17(지번) 철산동 404
67,가산디지털점,서울 금천구 벚꽃로 298 대륭포스트6차 1층(지번) 가산동 50-3
68,신도림테크노점,서울 구로구 새말로 97 1층(지번) 구로동 3-25
69,공덕점,서울 마포구 마포대로 53 마포트라펠리스 1층(지번) 도화동 559
70,보라매점,서울 영등포구 여의대방로 145 세인트빌딩(지번) 신길동 505
71,노량진점,서울 동작구 노량진로 158(지번) 노량진동 100-1
72,중산DT점,경기 고양시 일산동구 고양대로 745(지번) 중산동 1667-5
73,서울시청점,서울 중구 남대문로9길 51 1층(지번) 을지로1가 32
74,광명소하DT점,경기 광명시 오리로 512(지번) 소하동 1340
75,인천계산DT점,인천 계양구 오조산로 39 1~3층(지번) 계산동 1083-3
76,신림점,서울 관악구 신림로 310(지번) 신림동 1641-22
77,서울시흥DT점,서울 금천구 시흥대로 184(지번) 시흥동 903-4
78,서울역점,서울 중구 한강대로 405 서울역 2층(지번) 동자동 43-205
79,명동점,서울 중구 명동7길 8 1층(지번) 명동1가 48-2
80,세이브존광명점,경기 광명시 철망산로 87(지번) 철산동 367
81,종로3점,서울 종로구 종로 115(지번) 종로3가 10
82,숭실대점,서울 동작구 사당로 22(지번) 상도동 505-5
83,명동2호점,서울 중구 퇴계로 116-1(지번) 회현동3가 1-5
84,대학로점,서울 종로구 대학로 130(지번) 동숭동 1-34
85,이태원점,서울 용산구 이태원로 142-1(지번) 이태원동 56-21
86,중앙대점,서울 동작구 흑석로 84 R&D센터 지하1층(지번) 흑석동 221
87,마리오아울렛점,서울 금천구 디지털로 185 1관(지번) 가산동 60-22
88,성균관대점,서울 종로구 창경궁로 241-1(지번) 명륜2가 197-1
89,미아DT점,서울 강북구 삼양로 158(지번) 미아동 682-12
90,수유점,서울 강북구 도봉로 342(지번) 번동 418-18
91,삼선점,서울 성북구 동소문로 13 일화빌딩 1층(지번) 동소문동1가 32-3
92,종암SK점,서울 성북구 종암로 58(지번) 종암동 10-15
93,이수점,서울 동작구 사당로 300(지번) 사당동 147-115
94,동묘점,서울 종로구 종로 339(지번) 창신동 290
95,쌍문DT점,서울 도봉구 도봉로 541(지번) 쌍문동 700
96,서울번동DT점,서울 강북구 월계로 191(지번) 번동 106
97,시화이마트점,경기 시흥시 정왕대로 210 이마트 시화점 1층(지번) 정왕동 1734-1
98,신사역점,서울 강남구 도산대로 123 2층(지번) 신사동 514-15
99,안암점,서울 성북구 고려대로24길 42(지번) 안암동5가 102-33
100,상계DT점,서울 노원구 동일로 1612(지번) 상계동 1022
101,강남2호점,서울 강남구 테헤란로 107 메디타워 2층(지번) 역삼동 822-2
102,방학역DT점,서울 도봉구 도봉로 735(지번) 도봉동 620-25
103,청담DT점,서울 강남구 도산대로 407(지번) 청담동 87-3
104,방배점,서울 서초구 방배로 81(지번) 방배동 909-9
105,서초GS점,서울 서초구 반포대로 69(지번) 서초동 1536-17
106,서울교대점,서울 서초구 서초대로 316(지번) 서초동 1674-5
107,한양대점,서울 성동구 왕십리로 227(지번) 행당동 31-7
108,미아역점,서울 강북구 도봉로 204(지번) 미아동 197-5
109,강남삼성DT점,서울 강남구 봉은사로 432(지번) 삼성동 113-7
110,안양점,경기 안양시 만안구 안양로292번길 22(지번) 안양동 674-208
111,압구정CGV점,"서울 강남구 논현로 848 지하1층, 1층(지번) 신사동 603-2"
112,의정부녹양DT점,경기 의정부시 서부로 717(지번) 가능동 106-1
