,이름,주소
0,인천계양구청점,인천 계양구 계산새로 85(지번) 용종동 210-6
1,인천부평중앙점,인천 부평구 부평문화로 63(지번) 부평동 212-67
2,인천부평시장역점,인천 부평구 부흥로 264(지번) 부평동 529-40
3,인천삼산점,인천 부평구 체육관로 24(지번) 삼산동 462-5
4,일산산들점,경기 고양시 일산서구 일중로 46 엑셀런트빌딩 103호(지번) 일산동 1681-1
5,일산마두역점,경기 고양시 일산동구 중앙로 1191 굿모닝법조타운 101호(지번) 장항동 890-5
6,인천주안역점,인천 미추홀구 주안로 89(지번) 주안동 238-1
7,일산화정점,경기 고양시 덕양구 화정로 69 한화꿈에그린아파트(지번) 화정동 965-1
8,일산백마학원가점,경기 고양시 일산동구 일산로 233(지번) 마두동 751-2
9,일산고양터미널점,경기 고양시 일산동구 중앙로 1036 1층(지번) 백석동 1242
10,부천시청점,경기 부천시 석천로169번길 22(지번) 중동 1162-8
11,일산후곡점,경기 고양시 일산서구 일산로 539 1층(지번) 일산동 1084-3
12,고양행신점,경기 고양시 덕양구 충장로 11(지번) 행신동 707-1
13,가양역점,서울 강서구 양천로 470 그레이스힐(지번) 등촌동 717
14,부천상동점,경기 부천시 상동로 87 가나베스트타운 103호(지번) 상동 544-4
15,인천계양구청점,인천 계양구 계산새로 85(지번) 용종동 210-6
16,인천부평중앙점,인천 부평구 부평문화로 63(지번) 부평동 212-67
17,인천부평시장역점,인천 부평구 부흥로 264(지번) 부평동 529-40
18,인천삼산점,인천 부평구 체육관로 24(지번) 삼산동 462-5
19,일산산들점,경기 고양시 일산서구 일중로 46 엑셀런트빌딩 103호(지번) 일산동 1681-1
20,일산마두역점,경기 고양시 일산동구 중앙로 1191 굿모닝법조타운 101호(지번) 장항동 890-5
21,인천주안역점,인천 미추홀구 주안로 89(지번) 주안동 238-1
22,일산화정점,경기 고양시 덕양구 화정로 69 한화꿈에그린아파트(지번) 화정동 965-1
23,일산백마학원가점,경기 고양시 일산동구 일산로 233(지번) 마두동 751-2
24,일산고양터미널점,경기 고양시 일산동구 중앙로 1036 1층(지번) 백석동 1242
25,부천시청점,경기 부천시 석천로169번길 22(지번) 중동 1162-8
26,일산후곡점,경기 고양시 일산서구 일산로 539 1층(지번) 일산동 1084-3
27,고양행신점,경기 고양시 덕양구 충장로 11(지번) 행신동 707-1
28,가양역점,서울 강서구 양천로 470 그레이스힐(지번) 등촌동 717
29,부천상동점,경기 부천시 상동로 87 가나베스트타운 103호(지번) 상동 544-4
30,인천산곡역점,"인천 부평구 길주로364번길 9 1층 125,126호(지번) 산곡동 91-2"
31,부천송내역점,경기 부천시 부일로 203 상동스카이뷰자이(지번) 상동 413
32,부천중동점,경기 부천시 길주로 288(지번) 중동 1141-5
